Subject	Trial	Recording	Frame	Kinect	Sk_color	Hip_Center_X	Hip_Center_Y	Hip_Center_Z	Spine_X	Spine_Y	Spine_Z	Shoulder_Center_X	Shoulder_Center_Y	Shoulder_Center_Z	Head_X	Head_Y	Head_Z	Shoulder_Left_X	Shoulder_Left_Y	Shoulder_Left_Z	Elbow_Left_X	Elbow_Left_Y	Elbow_Left_Z	Wrist_Left_X	Wrist_Left_Y	Wrist_Left_Z	Hand_Left_X	Hand_Left_Y	Hand_Left_Z	Shoulder_Right_X	Shoulder_Right_Y	Shoulder_Right_Z	Elbow_Right_X	Elbow_Right_Y	Elbow_Right_Z	Wrist_Right_X	Wrist_Right_Y	Wrist_Right_Z	Hand_Right_X	Hand_Right_Y	Hand_Right_Z	Hip_Left_X	Hip_Left_Y	Hip_Left_Z	Knee_Left_X	Knee_Left_Y	Knee_Left_Z	Ankle_Left_X	Ankle_Left_Y	Ankle_Left_Z	Foot_Left_X	Foot_Left_Y	Foot_Left_Z	Hip_Right_X	Hip_Right_Y	Hip_Right_Z	Knee_Right_X	Knee_Right_Y	Knee_Right_Z	Ankle_Right_X	Ankle_Right_Y	Ankle_Right_Z	Foot_Right_X	Foot_Right_Y	Foot_Right_Z	
20190807T151230_Example1	Baseline 1	1	0001781_151353	1	magenta	0.163563	0.283776	3.654799	0.168128	0.344203	3.706708	0.160799	0.686303	3.699013	0.158028	0.866732	3.697042	0.002908	0.579717	3.682507	-0.065009	0.345932	3.665502	-0.087848	0.156666	3.536504	-0.078988	0.073621	3.472216	0.316180	0.568900	3.647606	0.400301	0.323512	3.696453	0.468154	0.110879	3.682836	0.468843	0.014271	3.687065	0.093565	0.215361	3.656384	0.115354	-0.285302	3.684159	0.180153	-0.649030	3.482058	0.157038	-0.710066	3.419800	0.234534	0.210661	3.633123	0.217156	-0.277382	3.580771	0.186870	-0.631135	3.499165	0.153583	-0.711888	3.413942	
20190807T151230_Example1	Baseline 1	1	0001782_151353	1	magenta	0.164628	0.293522	3.613801	0.167446	0.353869	3.664710	0.155472	0.689743	3.649762	0.147859	0.868325	3.636367	-0.008485	0.582265	3.663987	-0.066479	0.345876	3.641536	-0.094982	0.134128	3.498844	-0.089124	0.062197	3.460096	0.320440	0.578476	3.633843	0.399630	0.317434	3.629278	0.456594	0.104426	3.641759	0.473302	0.013566	3.668750	0.090749	0.217800	3.614050	0.104256	-0.274154	3.626892	0.167683	-0.664215	3.458652	0.160206	-0.705575	3.370852	0.241683	0.217912	3.594148	0.194260	-0.277990	3.557469	0.185996	-0.630509	3.495046	0.165353	-0.708577	3.440217	
20190807T151230_Example1	Baseline 1	1	0001783_151353	1	magenta	0.152014	0.291981	3.532696	0.157351	0.352094	3.585674	0.148144	0.698012	3.585549	0.146980	0.870309	3.562394	-0.016629	0.593735	3.586175	-0.078753	0.332167	3.549316	-0.104473	0.115543	3.494017	-0.106663	0.056630	3.464114	0.313881	0.584485	3.542469	0.386851	0.331481	3.539334	0.410749	0.099262	3.509815	0.435388	0.018349	3.512694	0.078050	0.220585	3.527596	0.073914	-0.279538	3.498278	0.122372	-0.646306	3.735879	0.135334	-0.672028	3.623266	0.228406	0.215140	3.519517	0.164134	-0.289542	3.498625	0.186816	-0.631354	3.492943	0.163307	-0.709797	3.442932	
20190807T151230_Example1	Baseline 1	1	0001784_151353	1	magenta	0.135432	0.297154	3.464171	0.143322	0.359068	3.513555	0.122116	0.701244	3.500922	0.122665	0.875604	3.487886	-0.040747	0.599372	3.535658	-0.090383	0.334485	3.533390	-0.128769	0.117323	3.483918	-0.135467	0.039620	3.475576	0.301289	0.588060	3.458122	0.366324	0.321916	3.440150	0.383120	0.102398	3.388510	0.407900	0.026519	3.346231	0.060061	0.222532	3.463862	0.042419	-0.278139	3.366133	0.077528	-0.635499	3.543602	0.082739	-0.707514	3.484862	0.216621	0.217365	3.446699	0.188924	-0.277341	3.462208	0.171506	-0.641507	3.480551	0.149517	-0.714222	3.445812	
20190807T151230_Example1	Baseline 1	1	0001785_151353	1	magenta	0.130528	0.302474	3.425965	0.134708	0.361989	3.481114	0.122466	0.707821	3.483481	0.110721	0.881406	3.461928	-0.043311	0.608964	3.474970	-0.098461	0.346312	3.510607	-0.135114	0.120742	3.483922	-0.144422	0.034406	3.480075	0.296237	0.598972	3.435294	0.364127	0.333284	3.421770	0.370680	0.119715	3.338290	0.372338	0.039210	3.296107	0.055672	0.228245	3.422911	0.030898	-0.262880	3.304132	0.057405	-0.635988	3.426143	0.038971	-0.700418	3.379192	0.207232	0.226146	3.399217	0.194187	-0.269612	3.448272	0.164481	-0.636222	3.459040	0.154446	-0.709074	3.422881	
20190807T151230_Example1	Baseline 1	1	0001786_151353	1	magenta	0.113974	0.306939	3.356576	0.121989	0.366133	3.410640	0.124718	0.711979	3.411193	0.105535	0.880736	3.372155	-0.047860	0.630559	3.410240	-0.112793	0.341392	3.446470	-0.150082	0.116711	3.447159	-0.164472	0.028151	3.453692	0.275427	0.607636	3.365334	0.343524	0.371911	3.323201	0.351352	0.138496	3.229414	0.356511	0.053813	3.168149	0.039341	0.235260	3.364077	0.011538	-0.261515	3.194720	-0.005643	-0.633808	3.170022	-0.022666	-0.706614	3.092604	0.183447	0.230950	3.321834	0.196867	-0.273981	3.425296	0.164925	-0.642706	3.457419	0.148406	-0.720224	3.413198	
20190807T151230_Example1	Baseline 1	1	0001787_151353	1	magenta	0.104381	0.301595	3.312738	0.114512	0.360785	3.362305	0.122216	0.698457	3.353596	0.088304	0.877671	3.340507	-0.054195	0.611987	3.369889	-0.117510	0.336924	3.420263	-0.156341	0.115429	3.436703	-0.169879	0.024892	3.442848	0.267688	0.599279	3.316589	0.341218	0.354274	3.295317	0.333136	0.140056	3.182971	0.346975	0.051907	3.159139	0.028979	0.229242	3.314173	0.011115	-0.261763	3.184424	-0.017110	-0.608079	3.079916	-0.038358	-0.677248	2.993917	0.174798	0.227895	3.294677	0.189019	-0.280974	3.395244	0.163888	-0.643345	3.452134	0.157734	-0.724025	3.430795	
20190807T151230_Example1	Baseline 1	1	0001788_151353	1	magenta	0.081962	0.282533	3.198478	0.089055	0.343464	3.248257	0.083671	0.676628	3.229193	0.051875	0.848035	3.222354	-0.079492	0.599479	3.265161	-0.139693	0.304894	3.318692	-0.179892	0.083916	3.354298	-0.189786	0.000158	3.349333	0.243402	0.576203	3.216962	0.310817	0.327763	3.165839	0.301776	0.123816	3.047190	0.300655	0.050381	3.001671	0.008674	0.212260	3.199066	-0.002962	-0.265371	3.063997	-0.044228	-0.587827	2.919203	-0.042255	-0.644507	2.811304	0.154191	0.205718	3.179410	0.174439	-0.279942	3.305634	0.162372	-0.638109	3.434964	0.157260	-0.727674	3.426621	
20190807T151230_Example1	Baseline 1	1	0001789_151353	1	magenta	0.064115	0.266349	3.113240	0.072960	0.327903	3.164837	0.065475	0.672451	3.152300	0.033088	0.834032	3.127359	-0.102001	0.587479	3.170240	-0.159157	0.295768	3.241877	-0.198687	0.070382	3.261817	-0.207905	-0.012967	3.263977	0.210148	0.567080	3.112250	0.281550	0.319894	3.081571	0.289329	0.107837	2.976665	0.287703	0.041861	2.940268	-0.007016	0.197766	3.105578	-0.016722	-0.279414	2.988295	-0.038759	-0.618585	2.861359	-0.033547	-0.691875	2.762992	0.135332	0.193903	3.098184	0.160968	-0.285284	3.227041	0.159478	-0.641428	3.427170	0.154772	-0.731583	3.417927	
20190807T151230_Example1	Baseline 1	1	0001790_151353	1	magenta	0.050765	0.268805	3.058590	0.061346	0.328199	3.109859	0.048994	0.666178	3.104585	0.017609	0.834546	3.093138	-0.110767	0.593689	3.157814	-0.174295	0.291123	3.186201	-0.220094	0.063791	3.212848	-0.223977	-0.014494	3.215634	0.202144	0.565723	3.080137	0.271045	0.313218	3.042663	0.283941	0.099395	2.940486	0.281910	0.017381	2.874403	-0.018120	0.199866	3.061825	-0.021011	-0.273677	2.974006	-0.037905	-0.623937	2.849216	-0.031943	-0.701326	2.755186	0.120867	0.193246	3.036143	0.142758	-0.282774	3.148285	0.158236	-0.622195	3.407794	0.154450	-0.712180	3.410955	
20190807T151230_Example1	Baseline 1	1	0001791_151354	1	magenta	0.018345	0.276769	2.926286	0.023584	0.335358	2.981917	0.022906	0.677878	2.984550	-0.005469	0.840417	2.949729	-0.145695	0.591596	2.993159	-0.204282	0.319620	3.034619	-0.248306	0.088471	3.018136	-0.263337	0.004930	3.032655	0.173907	0.575043	2.961999	0.243855	0.309337	2.933762	0.269247	0.084216	2.868307	0.274187	0.017083	2.831470	-0.053500	0.205571	2.923245	-0.032144	-0.281451	2.881197	-0.042131	-0.620083	2.832139	-0.035139	-0.711973	2.759648	0.090170	0.205050	2.907039	0.128687	-0.290474	2.938751	0.120347	-0.596282	3.240273	0.139615	-0.679979	3.251851	
20190807T151230_Example1	Baseline 1	1	0001792_151354	1	magenta	0.004311	0.294546	2.854659	0.008967	0.353939	2.905149	0.004023	0.683673	2.886566	-0.020205	0.846102	2.877241	-0.157290	0.639257	2.931002	-0.229637	0.332511	2.932607	-0.274504	0.095112	2.899407	-0.286562	0.001777	2.882809	0.159001	0.596391	2.895196	0.237820	0.317492	2.878994	0.262572	0.087907	2.822323	0.268556	0.017937	2.788738	-0.065319	0.222880	2.852076	-0.031922	-0.275175	2.829445	-0.040294	-0.623268	2.822516	-0.033708	-0.715608	2.758360	0.074470	0.222525	2.842827	0.105165	-0.276182	2.792515	0.104248	-0.627393	3.036149	0.118920	-0.705898	3.005997	
20190807T151230_Example1	Baseline 1	1	0001793_151354	1	magenta	0.006362	0.301115	2.785901	0.007153	0.359730	2.834959	-0.009930	0.682765	2.815075	-0.026265	0.847256	2.803622	-0.176817	0.608354	2.837405	-0.249987	0.353806	2.834992	-0.300436	0.115260	2.755220	-0.311320	0.023842	2.726834	0.147515	0.635315	2.815992	0.226311	0.338608	2.820116	0.256160	0.103265	2.777272	0.263602	0.010087	2.760659	-0.062261	0.226058	2.775703	-0.043028	-0.283277	2.793602	-0.025411	-0.647225	2.800477	-0.019608	-0.722456	2.762671	0.080975	0.230554	2.780160	0.087652	-0.271582	2.665238	0.076298	-0.650231	2.803566	0.066410	-0.722544	2.761192	
